受访者ID,问题1: 总体影响,问题2: 影响权衡,问题3-1: Mendenhall Glacier拥挤,问题3-2: 市中心车辆拥堵,问题3-3: 市中心人行道拥挤,问题3-4: 观鲸船交通及浪涌,问题3-5: 市中心外车辆拥堵,问题3-6: 观光飞行噪音,问题3-7: 步道拥挤,问题3-8: 邮轮废气排放
224,消极影响,不适用,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响,有些受影响
225,积极影响,不适用,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
226,积极影响,不适用,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响
227,没有影响,不适用,非常受影响,非常受影响,有些受影响,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响
228,消极影响,不适用,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响
229,没有影响,不适用,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
230,既有积极和消极影响,两者相,没有受影响,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,有些受影响,有些受影响
231,既有积极和消极影响,消极影,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,非常受影响,有些受影响,没有受影响
232,既有积极和消极影响,两者相,有些受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响
233,既有积极和消极影响,积极影,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
234,既有积极和消极影响,积极影,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
235,积极影响,不适用,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响,非常受影响,没有受影响
236,既有积极和消极影响,积极影,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
237,积极影响,不适用,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,非常受影响
238,积极影响,不适用,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
239,既有积极和消极影响,积极影,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响
240,积极影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响
241,没有影响,不适用,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响
242,没有影响,不适用,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
243,没有影响,不适用,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响
244,消极影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响
245,积极影响,不适用,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响
246,没有影响,不适用,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响
247,既有积极和消极影响,积极影,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
248,没有影响,不适用,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,有些受影响,非常受影响
249,没有影响,不适用,非常受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响
250,既有积极和消极影响,积极影,有些受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
251,积极影响,不适用,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响
252,消极影响,不适用,没有受影响,有些受影响,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响
253,既有积极和消极影响,积极影,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
254,消极影响,不适用,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响
255,积极影响,不适用,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响
256,既有积极和消极影响,积极影,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响
257,没有影响,不适用,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
258,既有积极和消极影响,消极影,有些受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
259,既有积极和消极影响,积极影,非常受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响
260,积极影响,不适用,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响
261,既有积极和消极影响,积极影,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
262,不知道,不适用,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响
263,积极影响,不适用,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
264,既有积极和消极影响,消极影,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响
265,既有积极和消极影响,两者相,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
266,既有积极和消极影响,积极影,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响
267,既有积极和消极影响,两者相,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
268,既有积极和消极影响,消极影,没有受影响,有些受影响,没有受影响,有些受影响,非常受影响,有些受影响,非常受影响,非常受影响
269,消极影响,不适用,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,有些受影响
270,积极影响,不适用,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响
271,既有积极和消极影响,积极影,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响
272,既有积极和消极影响,两者相,没有受影响,非常受影响,没有受影响,非常受影响,有些受影响,非常受影响,非常受影响,有些受影响
273,既有积极和消极影响,两者相,没有受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
274,没有影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
275,既有积极和消极影响,积极影,有些受影响,非常受影响,非常受影响,有些受影响,有些受影响,没有受影响,非常受影响,没有受影响
276,既有积极和消极影响,积极影,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
277,既有积极和消极影响,两者相,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
278,既有积极和消极影响,两者相,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响
279,既有积极和消极影响,积极影,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,没有受影响,有些受影响,非常受影响
280,既有积极和消极影响,积极影,没有受影响,有些受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,有些受影响
281,没有影响,不适用,有些受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响
282,消极影响,不适用,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
283,消极影响,不适用,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
284,积极影响,不适用,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响
285,既有积极和消极影响,积极影,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响,非常受影响
286,积极影响,不适用,没有受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响
287,既有积极和消极影响,消极影,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响
288,既有积极和消极影响,消极影,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
289,积极影响,不适用,没有受影响,有些受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,非常受影响
290,既有积极和消极影响,积极影,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
291,积极影响,不适用,有些受影响,没有受影响,有些受影响,没有受影响,非常受影响,非常受影响,非常受影响,没有受影响
292,积极影响,不适用,非常受影响,没有受影响,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响
293,既有积极和消极影响,消极影,没有受影响,没有受影响,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响
294,消极影响,不适用,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,非常受影响
295,积极影响,不适用,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响
296,既有积极和消极影响,两者相,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
297,既有积极和消极影响,积极影,没有受影响,非常受影响,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响
298,积极影响,不适用,非常受影响,没有受影响,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响
299,既有积极和消极影响,积极影,有些受影响,没有受影响,没有受影响,有些受影响,有些受影响,有些受影响,没有受影响,没有受影响
300,积极影响,不适用,没有受影响,非常受影响,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,有些受影响
301,积极影响,不适用,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响
302,既有积极和消极影响,两者相,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
303,既有积极和消极影响,两者相,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响,有些受影响,没有受影响
304,既有积极和消极影响,消极影,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响
305,既有积极和消极影响,消极影,没有受影响,非常受影响,非常受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响
306,没有影响,不适用,没有受影响,有些受影响,有些受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响
307,既有积极和消极影响,积极影,有些受影响,非常受影响,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响
308,消极影响,不适用,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
309,既有积极和消极影响,消极影,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
310,积极影响,不适用,非常受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
311,既有积极和消极影响,消极影,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响
312,积极影响,不适用,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,有些受影响
313,积极影响,不适用,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响,有些受影响
314,没有影响,不适用,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响
315,既有积极和消极影响,积极影,非常受影响,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,有些受影响
316,既有积极和消极影响,积极影,非常受影响,有些受影响,没有受影响,没有受影响,有些受影响,有些受影响,有些受影响,没有受影响
317,消极影响,不适用,没有受影响,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响
318,积极影响,不适用,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
319,积极影响,不适用,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响
320,积极影响,不适用,非常受影响,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,非常受影响
321,既有积极和消极影响,积极影,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响,非常受影响
322,既有积极和消极影响,积极影,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响,有些受影响
323,既有积极和消极影响,积极影,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
324,积极影响,不适用,非常受影响,有些受影响,有些受影响,没有受影响,非常受影响,非常受影响,没有受影响,有些受影响
325,没有影响,不适用,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,有些受影响
326,既有积极和消极影响,积极影,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
327,既有积极和消极影响,积极影,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响
328,既有积极和消极影响,积极影,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,非常受影响,有些受影响,非常受影响
329,消极影响,不适用,非常受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
330,积极影响,不适用,没有受影响,非常受影响,有些受影响,有些受影响,有些受影响,有些受影响,没有受影响,没有受影响
331,消极影响,不适用,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,有些受影响,没有受影响
332,既有积极和消极影响,两者相,没有受影响,没有受影响,有些受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
333,积极影响,不适用,有些受影响,有些受影响,有些受影响,非常受影响,没有受影响,非常受影响,没有受影响,非常受影响
334,积极影响,不适用,没有受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响
335,积极影响,不适用,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
336,积极影响,不适用,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响
337,既有积极和消极影响,消极影,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
338,既有积极和消极影响,两者相,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
339,既有积极和消极影响,两者相,非常受影响,有些受影响,有些受影响,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响
340,积极影响,不适用,有些受影响,没有受影响,没有受影响,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响
341,既有积极和消极影响,消极影,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
342,既有积极和消极影响,积极影,没有受影响,有些受影响,非常受影响,没有受影响,有些受影响,有些受影响,有些受影响,没有受影响
343,积极影响,不适用,没有受影响,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,有些受影响,有些受影响
344,既有积极和消极影响,消极影,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响
345,消极影响,不适用,有些受影响,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,有些受影响,非常受影响
346,既有积极和消极影响,消极影,有些受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响
347,既有积极和消极影响,两者相,没有受影响,有些受影响,没有受影响,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响
348,积极影响,不适用,非常受影响,没有受影响,非常受影响,非常受影响,非常受影响,没有受影响,非常受影响,有些受影响
349,消极影响,不适用,非常受影响,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响
350,既有积极和消极影响,消极影,非常受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,非常受影响
351,既有积极和消极影响,积极影,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
352,既有积极和消极影响,积极影,非常受影响,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响
353,既有积极和消极影响,积极影,非常受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
354,积极影响,不适用,非常受影响,没有受影响,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,有些受影响
355,积极影响,不适用,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
356,既有积极和消极影响,两者相,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
357,积极影响,不适用,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,有些受影响
358,既有积极和消极影响,消极影,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
359,没有影响,不适用,没有受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,有些受影响,有些受影响
360,既有积极和消极影响,积极影,非常受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
361,消极影响,不适用,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
362,既有积极和消极影响,不知道,没有受影响,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
363,既有积极和消极影响,消极影,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响
364,既有积极和消极影响,积极影,有些受影响,有些受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
365,没有影响,不适用,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
366,消极影响,不适用,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响
367,没有影响,不适用,有些受影响,非常受影响,有些受影响,没有受影响,没有受影响,有些受影响,非常受影响,没有受影响
368,没有影响,不适用,有些受影响,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响
369,积极影响,不适用,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,非常受影响
370,积极影响,不适用,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响
371,积极影响,不适用,非常受影响,没有受影响,有些受影响,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响
372,积极影响,不适用,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
373,积极影响,不适用,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响,有些受影响,有些受影响
374,既有积极和消极影响,积极影,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
375,积极影响,不适用,有些受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响
376,消极影响,不适用,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,有些受影响,没有受影响
377,既有积极和消极影响,积极影,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
378,积极影响,不适用,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响
379,既有积极和消极影响,积极影,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响,非常受影响,有些受影响
380,积极影响,不适用,没有受影响,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,有些受影响,没有受影响
381,积极影响,不适用,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响,非常受影响,有些受影响
382,既有积极和消极影响,积极影,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响,有些受影响
383,既有积极和消极影响,积极影,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
384,既有积极和消极影响,积极影,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
385,既有积极和消极影响,积极影,没有受影响,有些受影响,没有受影响,有些受影响,有些受影响,有些受影响,有些受影响,有些受影响
386,既有积极和消极影响,两者相,没有受影响,非常受影响,没有受影响,非常受影响,有些受影响,有些受影响,有些受影响,没有受影响
387,积极影响,不适用,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
388,积极影响,不适用,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
389,既有积极和消极影响,积极影,没有受影响,没有受影响,没有受影响,非常受影响,非常受影响,有些受影响,非常受影响,有些受影响
390,既有积极和消极影响,消极影,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
391,不知道,不适用,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
392,消极影响,不适用,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响
393,消极影响,不适用,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,非常受影响
394,既有积极和消极影响,消极影,非常受影响,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响
395,消极影响,不适用,有些受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,非常受影响,非常受影响
396,没有影响,不适用,有些受影响,有些受影响,没有受影响,有些受影响,有些受影响,有些受影响,没有受影响,有些受影响
397,既有积极和消极影响,不知道,有些受影响,没有受影响,非常受影响,非常受影响,没有受影响,非常受影响,有些受影响,有些受影响
398,既有积极和消极影响,积极影,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
399,既有积极和消极影响,消极影,没有受影响,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响
400,既有积极和消极影响,不知道,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,没有受影响,非常受影响,有些受影响
401,积极影响,不适用,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响
402,没有影响,不适用,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响
403,既有积极和消极影响,两者相,没有受影响,非常受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
404,既有积极和消极影响,两者相,没有受影响,有些受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响,有些受影响
405,消极影响,不适用,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
406,没有影响,不适用,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响
407,消极影响,不适用,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
408,积极影响,不适用,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,有些受影响
409,没有影响,不适用,非常受影响,有些受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
410,积极影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
411,消极影响,不适用,非常受影响,有些受影响,有些受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响
412,没有影响,不适用,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,非常受影响
413,没有影响,不适用,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响,有些受影响
414,既有积极和消极影响,积极影,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
415,既有积极和消极影响,积极影,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响
416,既有积极和消极影响,两者相,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,非常受影响,没有受影响,非常受影响
417,积极影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
418,消极影响,不适用,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响
419,既有积极和消极影响,两者相,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响
420,既有积极和消极影响,消极影,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
421,既有积极和消极影响,消极影,有些受影响,没有受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响
422,既有积极和消极影响,积极影,没有受影响,有些受影响,没有受影响,非常受影响,有些受影响,有些受影响,有些受影响,没有受影响
423,积极影响,不适用,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响
424,既有积极和消极影响,两者相,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
425,积极影响,不适用,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响
426,既有积极和消极影响,积极影,非常受影响,非常受影响,有些受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响
427,既有积极和消极影响,积极影,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响
428,没有影响,不适用,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
429,消极影响,不适用,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,有些受影响
430,积极影响,不适用,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
431,积极影响,不适用,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响
432,既有积极和消极影响,消极影,没有受影响,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响,非常受影响
433,既有积极和消极影响,消极影,没有受影响,有些受影响,非常受影响,有些受影响,有些受影响,有些受影响,非常受影响,没有受影响
434,积极影响,不适用,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
435,积极影响,不适用,没有受影响,有些受影响,没有受影响,非常受影响,有些受影响,非常受影响,有些受影响,没有受影响
436,既有积极和消极影响,积极影,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响
437,积极影响,不适用,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响,有些受影响,非常受影响,有些受影响
438,既有积极和消极影响,积极影,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
439,既有积极和消极影响,消极影,没有受影响,有些受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
440,积极影响,不适用,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响
441,积极影响,不适用,非常受影响,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
442,没有影响,不适用,没有受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
443,消极影响,不适用,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响
444,消极影响,不适用,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响
445,既有积极和消极影响,积极影,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响
446,没有影响,不适用,非常受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
447,没有影响,不适用,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
448,既有积极和消极影响,消极影,没有受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,非常受影响
